,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price
8618,"Security,Covered Parking,Natural Gas,Landline,Elevator",3,1,90.0,0,4,Helwan,Not in Compound,425000.0
8619,No,2,1,140.0,0,11,Waili,Not in Compound,380000.0
8620,Electricity Meter,2,1,108.0,0,3,Ain Shams,Madinaty,1400000.0
8622,No,2,1,64.0,0,11,Obour City,Not in Compound,300000.0
8623,No,2,1,125.0,0,2,New Cairo - El Tagamoa,Not in Compound,600000.0
8624,Central A/C & heating,2,1,70.0,0,2,Ain Shams,Not in Compound,400000.0
8625,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security",3,2,180.0,1,3,Maadi,Not in Compound,950000.0
8627,"Balcony,Security,Elevator",3,2,135.0,0,6,Madinaty,Madinaty,1700000.0
8628,"Natural Gas,Elevator",2,1,115.0,0,5,Nasr City,Not in Compound,850000.0
8629,No,3,1,100.0,0,5,Salam City,Not in Compound,325000.0
8630,No,2,1,99.0,0,1,Rehab City,Not in Compound,1350000.0
8631,"Balcony,Built in Kitchen Appliances,Covered Parking,Maids Room,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,177.0,0,2,Maadi,Not in Compound,1650000.0
8632,"Security,Electricity Meter,Natural Gas,Landline,Elevator",2,1,100.0,0,5,Zahraa Al Maadi,Not in Compound,700000.0
8633,"Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,190.0,0,5,Gesr Al Suez,Not in Compound,660000.0
8634,"Balcony,Covered Parking,Security,Elevator",3,2,133.0,0,3,Madinaty,Madinaty,1550000.0
8635,"Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,96.0,0,2,Nasr City,Not in Compound,600000.0
8636,"Balcony,Covered Parking,Electricity Meter,Water Meter",3,3,177.0,0,3,Badr City,Not in Compound,2300.0
8637,No,3,1,152.0,0,3,Helmeyat El Zaytoun,Not in Compound,780000.0
8638,"Balcony,Security,Elevator,Natural Gas",2,1,105.0,0,10,New Cairo - El Tagamoa,Tag Sultan,1300000.0
8639,"Balcony,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,139.0,0,5,New Cairo - El Tagamoa,Not in Compound,150000.0
8640,"Balcony,Built in Kitchen Appliances,Pets Allowed,Electricity Meter,Natural Gas,Elevator",3,2,180.0,1,1,Al Manial,Not in Compound,3200000.0
8641,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Maids Room,Pets Allowed,Security,Water Meter,Natural Gas,Landline,Elevator",3,2,208.0,1,3,Al Manial,Not in Compound,2850000.0
8643,"Balcony,Electricity Meter,Natural Gas,Landline",2,2,105.0,0,2,Helwan,Not in Compound,550000.0
8645,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas",3,2,200.0,0,0,New Cairo - El Tagamoa,Not in Compound,1800000.0
8646,"Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,230.0,0,4,Nasr City,Not in Compound,1500000.0
8647,Elevator,3,2,125.0,0,4,Matareya,Not in Compound,475000.0
8648,"Balcony,Central A/C & heating,Covered Parking,Pets Allowed,Private Garden,Security,Pool,Water Meter,Natural Gas,Landline,Elevator",3,3,105.0,0,0,Madinaty,Madinaty,1400000.0
8649,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,170.0,0,10,Nasr City,Not in Compound,590000.0
8650,"Balcony,Security",3,1,145.0,0,0,Mokattam,Not in Compound,700000.0
8651,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,155.0,0,5,Zahraa Al Maadi,Not in Compound,6500.0
8652,No,3,1,140.0,0,5,Ain Shams,Not in Compound,450000.0
8653,"Balcony,Pets Allowed,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas",2,1,180.0,0,2,New Cairo - El Tagamoa,Not in Compound,1700000.0
8654,"Electricity Meter,Natural Gas",3,1,90.0,0,4,Matareya,Not in Compound,160000.0
