Amenities,Bedrooms,Bathrooms,Area (m²),Furnished,Level,Ad Type,Type,Payment Option,price,title,location,Compound
,2,1,110,No,1,For Sale,Apartment,Cash,"670,000 EGP",(شقه للبيع فى التجمع الخامس جاردنيا ١(ابو ...,New Cairo - El Tagamoa,Abu Al-Hool
Balcony,2,1,110,,1,For Sale,Apartment,Cash,"525,000 EGP",شقة 110م تسليم فوري في جاردينيا هايتس التج...,New Cairo - El Tagamoa,Abu Al-Hool
,3,3,400,,Ground,For Sale,Duplex,Cash,"2,250,000 EGPnegotiable",دوبلكس روعة فجاردينيا هايتس سوبر لوكس فيو ...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Security,Pets Allowed,Electricity Meter,Elevator",3,2,210,,Ground,For Sale,Apartment,Cash or Installment,"1,350,000 EGP",شقة للبيع بالتجمع الخامس ٢١٠م جاردينيا هاي...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,125,No,2,For Sale,Apartment,Cash or Installment,"550,000 EGPnegotiable",شقه ف افضل واميز مواقع جاردينيا 1 مساحات م...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Landline",2,1,110,,2,For Sale,Apartment,Cash or Installment,"625,000 EGP",للبيع شقه بالتجمع الخامس إستلام فوري بتسهي...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,120,,2,For Sale,Apartment,Cash,"800,000 EGP",شقه للبيع التجمع الخامس جاردنيا هايتس تشطي...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter",2,1,125,No,1,For Sale,Apartment,Cash,"680,000 EGP",شقه متميزه بجاردينيا هايتس بالتجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Maids Room,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,200,No,Ground,For Sale,Apartment,Cash or Installment,"950,000 EGP",شقه 200م في جاردينيا هايتس في التجمع الخام...,Nasr City,Abu Al-Hool
,3,2,210,No,Ground,For Sale,Apartment,Cash,"1,400,000 EGP",شقة للبيع في التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Security,Electricity Meter,Water Meter,Elevator",3,2,230,No,1,For Sale,Apartment,Cash or Installment,"1,150,000 EGPnegotiable",لظروف خاصه شقه بسعر محروق 230م دوركامل بال...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,156,,Ground,For Sale,Apartment,,"1,650,000 EGP",شقة للبيع بكمبوند صن سيتي جوار جامعة المست...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,200,,4,For Sale,Apartment,,"1,800,000 EGP",شقة 200متر المستثمرين الجنوبية امام الجامع...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,125,No,3,For Sale,Apartment,Cash or Installment,"750,000 EGPnegotiable",شقه 125 م التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Pets Allowed,Electricity Meter,Landline",3,2,220,,2,For Sale,Apartment,Cash,"1,300,000 EGP",شقة للبيع 200 متر هااى لوكس بسعر لقطة,New Cairo - El Tagamoa,Abu Al-Hool
