title,price,location,property_type,bedrooms,bathrooms,area
Book your unit now with 0 down payment over 8years,"
          3,200,000
              EGP  ","Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,175 sqm
Apartment 190m for sale new capital  25% discount,"
          1,700,250
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,190 sqm
155m Apt with 85m garden for sale in SODIC EASTOWN,"
          2,650,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,4 ,155 sqm
Your apartment with 10% down payment and up to 10 years installments in Castle Landmark,"
          2,980,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,245 sqm
Your apartment with 10% down payment and up to 10 years installments in Castle Landmark,"
          2,100,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,175 sqm
Villa 4 Sale In Pk1 Wz Penthouse N Prime Location.,"
          12,000,000
              EGP  ","Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",Apartment,5 ,4 ,800 sqm
Apartment For Sale Maadi Sarayat-Cairo  super lux.,"
          3,000,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,300 sqm
buy apartment 235 m² with downpayment 141000 EGP,"
          141,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,235 sqm
الأن احجز بالمرحلة التانية من مشروعTRUE بمدينة نصر,"
          708,075
              EGP  ","True, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,2 ,104 sqm
The lowest monthly installment with 8000 pounds  .,"
          111,500
              EGP  ","Menorca, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,115 sqm
الأن احجز بالمرحلة التانية من مشروعTRUE بمدينة نصر,"
          681,660
              EGP  ","True, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,2 ,108 sqm
Uptown Cairo Apartment for sale 217meters,"
          3,900,000
              EGP  ","The Sierras, Uptown Cairo, Mokattam, Cairo",Apartment,3 ,3 ,217 sqm
Own amazing Apartment in one Kattameya,"
          1,500,000
              EGP  ","One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",Apartment,3 ,2 ,137 sqm
*Low PRICE* Apartment 200m + Shared Pool in Mivida,"
          3,500,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
Castle Landmark over 12 years equal installments,"
          1,780,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,177 sqm
شقة 280م2 للبيع بشارع حسن شريف الرئيسى مدينة نصر..,"
          2,600,000
              EGP  ","Dr Hassan Al Sherif St., 8th Zone, Nasr City, Cairo",Apartment,4 ,3 ,280 sqm
Apartment for sale 10 years installments Bloomfields,"
          1,600,000
              EGP  ","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,2 ,2 ,125 sqm
"With 15% downpayment, book your unit in TRUE Nsr Cit.","
          650,380
              EGP  ","Aal Othman St., 10th District, Nasr City, Cairo",Apartment,3 ,1 ,104 sqm
ِApartment with Ultra super finishing for sale at patio7,"
          3,150,000
              EGP  ","El Patio 7, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,150 sqm
Villa for sale in the capital at 40% discount cash in Midtown Sky,"
          2,669,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,5 ,4 ,350 sqm
Own your apartment in installments up to 7 years in TRUE Compound.,"
          713,700
              EGP  ","Aal Othman St., 10th District, Nasr City, Cairo",Apartment,3 ,2 ,109 sqm
Book your apartment in true compound Nasr Ciy.,"
          718,565
              EGP  ","Aal Othman St., 10th District, Nasr City, Cairo",Apartment,3 ,2 ,104 sqm
"Apartment 157m Serrano New capital,R7, Exclusive","
          1,700,000
              EGP  ","Serrano, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,157 sqm
Apartment for sale 125 meters seventh part Elmaadi,"
          980,000
              EGP  ","7th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,2 ,2 ,125 sqm
Ready to move apt. at lakeview residence New Cairo,"
          4,085,550
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,268 sqm
Your apartment 170 m ground with garden Fifth Avenue and premium up to 36 months,"
          1,530,000
              EGP  ","Grand Cesar, South Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,170 sqm
Ground apartment with Acs under market price,"
          4,100,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,186 sqm
Apartment for sale in MVHP direct on Majestic Lake,"
          2,850,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,274 sqm
Own apartment127m at50% discount in Saray Compound,"
          1,954,675
              EGP  ","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,2 ,2 ,127 sqm
Apartment 135m in Hyde Park -10 years installments,"
          2,100,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,135 sqm
Bloomfields-own your unit 2 years with 5% &10years,"
          133,000
              EGP  ","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,189 sqm
"Apartment 156 m for sale in the capital, 15% down payment, 10 years installment","
          1,980,000
              EGP  ","R7, New Capital City, Cairo",Apartment,3 ,3 ,156 sqm
Ap. overlooking  the lake  in  Lake View Residence,"
          3,150,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,215 sqm
Typical floor  Apartment in Eastown Good Location,"
          3,481,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,191 sqm
Prime location for sale at eastown parks,"
          3,450,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,191 sqm
apartment in sodic over 8years (ready to move),"
          3,000,000
              EGP  ","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,161 sqm
Finished Apartment in Sueno 11 Years installments,"
          1,650,000
              EGP  ","Sueno, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,150 sqm
10% DP + 10 years installments in Castle landmark,"
          1,919,580
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,4 ,205 sqm
For Sale ready to move Apartment at Galleria,"
          1,850,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,139 sqm
Apartment 10 Years Installment Bloomfields 153 M,"
          2,000,000
              EGP  ","Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,2 ,2 ,153 sqm
apartment prime location Mountain view Hyde park,"
          1,700,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,115 sqm
Big Discount ( Scene 7 ) Akam  - New Capital City,"
          2,058,000
              EGP  ","Scenario, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,179 sqm
Apartment in New Cairo for sale with installments,"
          2,150,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,142 sqm
The Cheapest Apt 3Beds In New Capital And Insta10Y,"
          130,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,135 sqm
For sale prime location apartment at Fifth square,"
          3,340,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,166 sqm
for sale villa Fountain Park- swimming pool,"
          11,500,000
              EGP  ","Fountain Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,400 sqm
12 years installments Limited Offer in Armonia,"
          2,130,999
              EGP  ","Armonia, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,161 sqm
Apartment 200 m for sale in New Cairo - Mivida,"
          4,000,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
apartment 274 for sale in mountain view Hyde park,"
          2,590,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,274 sqm
