,title,location,bedrooms,bathrooms,area,price,compound
8791,بالزمالك القبلية بموقع متميز فيو رائع,"Mahmoud Azmy St., Zamalek, Cairo",3,2,171,4104000.0,0
8792,مدينتي. b7. ارضى من دون جنينه. قريب جدا على الحركة,"Madinaty, Cairo",2,1,77,980000.0,0
8793,للبيع شقة سكنية مساحة 215م2 بالمنطقة الأولى - بمساكن شيراتون المطار,"Masaken Sheraton, Sheraton Al Matar, El Nozha, Cairo",3,3,215,3117500.0,0
8794,شقه لقطه 90 م - B7 - دور ارضي - تشطيبات خاصه,"Madinaty, Cairo",2,1,90,1100000.0,0
8795,استلم و قسط على 10 سنين بهايد بارك افضل عرض عقاري,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,199,350000.0,1
8796,شقة للبيع 185 م بحي بيت الوطن قرب التسعين قسط80شهر,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",2,1,185,1185000.0,0
8797,شقة 195م بجاردن بكمبوند ايستاون سوديك,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,195,3300000.0,1
8798,شقة لقطة للبيع في مدنتى 116 م,"Madinaty, Cairo",3,2,116,1320000.0,0
8799,شقة للبيع 190 متر الترا لوكس بفيلات الحي الخامس,"Akhnaton St., District 5, The 5th Settlement, New Cairo City, Cairo",3,3,190,2600000.0,0
8800,للبيع شقه فى ماونتن فيو بخصم 250الف لمده شهر فقط,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,115,1650000.0,1
8801,شقة 135م للبيع بكمباوند البارون مشطبة دائرى المعادى,"Ring Road, Al Hadaba Al Wosta, Mokattam, Cairo",3,2,135,1180000.0,0
8802,شقة للبيع على النيل مباشرة ابوالفداء بالزمالك,"Abou Al Feda St., Zamalek, Cairo",3,3,200,5000000.0,0
8803,أقـوى عروض العـاصمـة الشـقـة 555 ألـف مساحة 90 متر,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",1,1,90,555000.0,1
