,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price,title
9616,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",3,3,140.0,0,3,New Cairo - El Tagamoa,Dar Misr,480000.0,شقه لقققققققفققطه للبيع بكمباوند دار مصر ا...
9617,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",3,3,266.0,0,4,Madinaty,Madinaty,3350000.0,266 متر للبيع في مدينتي B3 فيو وايد جاردن
9618,"['Security', 'Covered Parking', 'Pets Allowed']",3,3,157.0,0,4,Rehab City,Not in Compound,2900000.0,فرصه للبيع بالرحاب157 بحرى تطل على حديقه ت...
9619,[],3,1,115.0,0,2,New Cairo - El Tagamoa,Dar Misr,160000.0,سكن مصر الاندلس
9620,[],3,2,148.0,0,0,Madinaty,Not in Compound,2000000.0,شقه روعه للبيع في مدينتي ١٤٨م ارضي بحديقه ...
9621,[],2,2,89.0,0,5,Madinaty,Not in Compound,1000000.0,شقه للبيع في مدينتي ٨٩م بموقع روعه في B6
9622,[],3,1,143.0,0,1,Madinaty,Not in Compound,780000.0,شقه للبيع في مدينتي ١٤٣م في B6
9623,"['Security', 'Covered Parking', 'Elevator']",2,2,140.0,0,6,Nasr City,Not in Compound,1250000.0,شقه للبيع
9624,[],3,3,211.0,0,4,Rehab City,Not in Compound,3600000.0,للبيــــع بالرحــــاب 211م موقــــع رائع ج...
9625,[],2,1,70.0,0,0,New Cairo - El Tagamoa,Not in Compound,420000.0,شقه للبيع دور ارضي تشطيب سوبر لوكس محليه ا...
9626,['Elevator'],2,1,135.0,0,8,Heliopolis,Not in Compound,350000.0,شقه ١٣٥ م للبيع
9627,"['Security', 'Pets Allowed']",2,2,96.0,0,4,Madinaty,Madinaty,1100000.0,للبيع ب مدينتي
9628,['Security'],2,1,108.0,0,0,Madinaty,Madinaty,1300000.0,شقه للبيع بمدينتي بالبى٦ أرضى بجنينه تشطيب...
9629,[],3,1,100.0,0,5,Ain Shams,Not in Compound,285000.0,شقه للبيع عين شمس الغربيه
9630,[],3,1,155.0,0,10,Ain Shams,Not in Compound,700000.0,شقة ١٥٥ متر للبيع
9631,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",2,1,99.0,0,1,Rehab City,Not in Compound,1350000.0,فرصه اول سكن شقه 99م للبيع بالرحاب 2 بسعر ...
9632,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",3,3,170.0,0,6,Abasiya,Not in Compound,1300000.0,شقة للبيع ببرج القبة الفداوية العباسية
9633,"['Security', 'Covered Parking', 'Elevator']",3,2,172.0,0,1,Madinaty,Not in Compound,2400000.0,للبيع بارقي مراحل مدينتي بالB8 شقة 172م وا...
9634,"['Security', 'Elevator']",2,1,120.0,0,0,Nasr City,Not in Compound,530000.0,للبيع 120م بزهراء م نصر
9635,"['Security', 'Elevator']",3,3,218.0,0,3,New Cairo - El Tagamoa,Not in Compound,2400000.0,شقه للبيع بالتجمع الخامس
9636,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",2,1,115.0,0,11,Heliopolis,Not in Compound,1100000.0,مصر الجديده
9637,[],3,3,201.0,0,1,Obour City,Not in Compound,950000.0,ي/فيلا شيك الخامس 201م موصفات ممتازه
9638,"['Security', 'Elevator']",3,1,150.0,0,1,Heliopolis,Not in Compound,1200000.0,شقة للبيع متفرع من نبيل وقاد ارض الجولف
9639,[],3,1,130.0,0,8,Nasr City,Not in Compound,350000.0,شارع الفردوس متفرع من الجامعة زهراء مدينة ...
9640,['Security'],3,2,103.0,0,1,Madinaty,Madinaty,1250000.0,شقه للبيع
9641,['Elevator'],2,1,85.0,0,2,Ezbet El Nakhl,Not in Compound,350000.0,شقه تمليك عزبه النخل الشرقيه
9642,[],3,3,230.0,0,0,Heliopolis,Not in Compound,1750000.0,للتمليك قرب سيتى سنتر الماظه شقه 230م التر...
9643,[],3,2,215.0,0,3,New Cairo - El Tagamoa,Not in Compound,1750000.0,نص رووف عالتسعين الجنوبى بجدية التصالح
9644,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",2,2,96.0,1,1,Rehab City,Not in Compound,1400000.0,للبيع بمدينتى شقه 96م تشطيب فندقى بالفرش
